Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark,Provenance
Mendel-Geberovich et al. 2020: no. 9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Mendel-Geberovitch et al. 2019,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Mendel-Geberovitch et al. 2019: 161-166,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,,Jerusalem
ONLINE 14/7/2021,Bipartite,Judah,FALSE,TRUE,,,TRUE,Double-line,TRUE,,Horizontal,,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,,UNKNOWN,TRUE,Jerusalem
Shukron 2012,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,TBD,,UNKNOWN,TBD,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
Tufnell et al. 1953: Pl. 44A/45.158,Exergual,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,TRUE,Single-line,Vertical,Conoid,Stone,[60-80[ % ,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,Lachish
Tufnell et al. 1953: Pl. 44A/45.168,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,Lachish
Vainstub and Ben-Shlomo 2016,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,[80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Hebron
Vanderhooft et al. 2022,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,,Jerusalem
Vukosavovic and Chalaf 2020: Fig. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Vukosavovic and Chalaf 2020: Fig. 4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0008,Tripartite,Judah,TRUE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Vertical,Scaraboid,Stone,[80-100] %,TRUE,TRUE,,FALSE,,TRUE,,Tell en-Nasbeh
WSS 0035,Plain iconic,Judah,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,Scaraboid,Organic,[80-100] %,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0052,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Beth Shemesh
WSS 0059,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scarab,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Lachish
WSS 0070,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Arad
WSS 0071,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Arad
WSS 0072,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Double-line,Horizontal,Scaraboid,Artificial,[60-80[ % ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Arad
WSS 0094,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Square plaque,Stone,[80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,En Gedi
WSS 0111,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,[80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Arad
WSS 0132,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TRUE,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Arad
WSS 0147,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Jerusalem
WSS 0150,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0172,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Square,Square stamp,Stone,[80-100] %,TRUE,FALSE,,FALSE,,FALSE,,En Gedi
WSS 0210,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Jerusalem
WSS 0212,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[40-60[ % ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Qiryat Yearim
WSS 0220,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Elongated rectangle,UNKNOWN,UNKNOWN,Horizontal,Eight-faceted flattened conoid,Stone,[40-60[ % ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Gibeon
WSS 0261,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0293,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Polished pebble,Stone,[80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Beth Shemesh
WSS 0326,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,,FALSE,,FALSE,,Jerusalem
WSS 0350,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Lachish
WSS 0360,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,FALSE,Lachish
WSS 0385,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,[60-80[ % ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Lachish
WSS 0405,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,,FALSE,,TRUE,,Lachish
WSS 0412,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,,FALSE,,TRUE,TRUE,Beth Zur
WSS 0416,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,,FALSE,,TRUE,UNKNOWN,Lachish
WSS 0420,UNKNOWN,Judah,UNKNOWN,TRUE,FALSE,TRUE,TRUE,Double-line,UNKNOWN,UNKNOWN,Vertical,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,UNKNOWN,TRUE,Jerusalem
WSS 0427,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0429,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0437,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0440,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0441,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0447,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0448,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Jerusalem
WSS 0450,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0458,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0459,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0463,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0464,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
WSS 0466,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,TBD,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
WSS 0467,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Ladder pattern,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0469,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0470,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0474,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0482,UNKNOWN,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Jerusalem
WSS 0498,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0500,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Jerusalem
WSS 0503,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0508,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0509,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0510,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,TRUE,Jerusalem
WSS 0511,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0515,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0518,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
WSS 0523,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Lachish
WSS 0524,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0530,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0536,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,,FALSE,,Tell el-Judeideh
WSS 0541,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0568,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Tell el-Hesi
WSS 0571,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0573,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0577,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Lachish
WSS 0581,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0586,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,FALSE,TRUE,TRUE,Jerusalem
WSS 0588,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem
WSS 0595,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
WSS 0596,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0599,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0605,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,FALSE,Jerusalem
WSS 0626,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0636,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0637,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,UNKNOWN,Jerusalem
WSS 0638,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0639,Plain iconic,Judah,TRUE,UNKNOWN,FALSE,FALSE,FALSE,,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Tell el-Judeideh
WSS 0643,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0644,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0660,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
WSS 0661,UNKNOWN,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,Beersheba
