Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark
Mazar and Livyatan Ben-Arie 2018: n. B19,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mazar and Livyatan Ben-Arie 2018: n. B20,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN
Mazar and Livyatan Ben-Arie 2018: n. B21,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mazar and Livyatan Ben-Arie 2018: n. B22,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mazar and Livyatan Ben-Arie 2018: n. B23,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Two lines filled with dots,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mazar and Livyatan Ben-Arie 2018: n. B24,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: Fig. 5,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Mendel-Geberovich et al. 2020: no. 1,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 10,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
Mendel-Geberovich et al. 2020: no. 11,UNKNOWN,Judah,TRUE,TRUE,UNKNOWN,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 12,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Floral pattern,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
Mendel-Geberovich et al. 2020: no. 13,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Mendel-Geberovich et al. 2020: no. 3,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 4,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
Mendel-Geberovich et al. 2020: no. 5,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 6,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line(?),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 7,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 8,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,Triple-line,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Mendel-Geberovich et al. 2020: no. 9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Mendel-Geberovitch et al. 2019,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Mendel-Geberovitch et al. 2019: 161-166,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,
Miglio 2014,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line?,Vertical,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,
ONLINE 14/7/2021,Bipartite,Judah,FALSE,TRUE,,,TRUE,Double-line,TRUE,,Horizontal,,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,,UNKNOWN,TRUE
Seligman 2009,Plain aniconic,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,Borderless?,Borderless?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Shai et al. 2011,TBD,,TBD,,,,,,,,,,,UNKNOWN,,,,,,,
Shai et al. 2014,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Shukron 2012,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,TBD,,UNKNOWN,TBD,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
Tufnell et al. 1953: Pl. 44A/45.158,Exergual,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,TRUE,Single-line,Vertical,Conoid,Stone,]60-80] %  ,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN
Tufnell et al. 1953: Pl. 44A/45.168,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Ussishkin 2004c: 2138 No. 91,TBD,Judah,UNKNOWN,TRUE,FALSE,FALSE,UNKNOWN,TBD,UNKNOWN,UNKNOWN,Square,,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ussishkin 2004c: No. 80,UNKNOWN,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Vainstub and Ben-Shlomo 2016,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Vanderhooft et al. 2022,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,
Vukosavovic and Chalaf 2020: Fig. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Vukosavovic and Chalaf 2020: Fig. 4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0002,Exergual,Israel,TRUE,FALSE,FALSE,TRUE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0008,Tripartite,Judah,TRUE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Vertical,Scaraboid,Stone,]80-100] %,TRUE,TRUE,,FALSE,,TRUE,
WSS 0035,Plain iconic,Judah,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,Scaraboid,Organic,]80-100] %,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0052,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
WSS 0059,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scarab,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0070,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0071,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0072,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Double-line,Horizontal,Scaraboid,Artificial,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0085,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0094,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Square plaque,Stone,]80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0111,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0132,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN
WSS 0147,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0150,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0160,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0172,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Square,Square stamp,Stone,]80-100] %,TRUE,FALSE,,FALSE,,FALSE,
WSS 0210,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
WSS 0212,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]40-60] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0220,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Elongated rectangle,UNKNOWN,UNKNOWN,Horizontal,Eight-faceted flattened conoid,Stone,]40-60] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0224,Plain iconic,Israel,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Horizontal,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,
WSS 0261,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0293,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Polished pebble,Stone,]80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0326,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,,FALSE,,FALSE,
WSS 0350,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0360,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,FALSE
WSS 0385,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0405,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,,FALSE,,TRUE,
WSS 0412,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,,FALSE,,TRUE,TRUE
WSS 0416,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,,FALSE,,TRUE,UNKNOWN
WSS 0420,UNKNOWN,Judah,UNKNOWN,TRUE,FALSE,TRUE,TRUE,Double-line,UNKNOWN,UNKNOWN,Vertical,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,UNKNOWN,TRUE
WSS 0427,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0429,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0437,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0440,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0441,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0447,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0448,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0450,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0458,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0459,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0463,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,FALSE,TRUE,TRUE
WSS 0464,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
WSS 0466,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,TBD,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
